Timestamp,Method,Endpoint,Response Time (ms),Size (bytes)
"2024-06-25 20:34:11,060",GET,/api/v1/consignservice/consigns/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,73.00958293490112,66
"2024-06-25 20:34:11,064",GET,/api/v1/routeservice/routes,65.14554098248482,1703
"2024-06-25 20:34:11,064",PUT,/api/v1/userservice/users,61.433083028532565,243
"2024-06-25 20:34:11,064",GET,/api/v1/adminuserservice/users,84.14670801721513,235
"2024-06-25 20:34:11,064",GET,/api/v1/assuranceservice/assurances,82.7359160175547,63
"2024-06-25 20:34:11,064",GET,/api/v1/routeservice/routes,65.68587489891797,1703
"2024-06-25 20:34:11,071",GET,/api/v1/basicservice/basic/beijing,88.24895799625665,74
"2024-06-25 20:34:11,071",GET,/api/v1/assuranceservice/assurances,89.26775003783405,63
"2024-06-25 20:34:11,071",GET,/api/v1/assuranceservice/assurances,89.64775002095848,63
"2024-06-25 20:34:11,071",GET,/api/v1/travel2service/trips,69.37466596718878,1588
"2024-06-25 20:34:11,071",POST,/api/v1/stationfoodservice/stationfoodstores,70.94504206907004,1858
"2024-06-25 20:34:11,072",GET,/api/v1/adminrouteservice/adminroute,95.56066698860377,1703
"2024-06-25 20:34:11,072",GET,/api/v1/basicservice/basic/shanghai,90.2104590786621,74
"2024-06-25 20:34:11,076",GET,/api/v1/adminuserservice/users,95.49062501173466,235
"2024-06-25 20:34:11,082",GET,/api/v1/adminbasicservice/adminbasic/prices,108.16220904234797,1685
"2024-06-25 20:34:11,084",GET,/api/v1/adminrouteservice/adminroute,104.78400008287281,1703
"2024-06-25 20:34:11,084",POST,/api/v1/routeplanservice/routePlan/cheapestRoute,85.57199989445508,38
"2024-06-25 20:34:11,089",GET,/api/v1/adminrouteservice/adminroute,112.56966693326831,1703
"2024-06-25 20:34:11,095",GET,/api/v1/notifyservice/test_send_mq,101.17358295246959,4
"2024-06-25 20:34:11,095",GET,/api/v1/notifyservice/test_send_mq,101.55533300712705,4
"2024-06-25 20:34:11,095",GET,/api/v1/orderservice/order,100.13329202774912,1354
"2024-06-25 20:34:11,095",POST,/api/v1/travelplanservice/travelPlan/cheapest,93.35229196585715,44
"2024-06-25 20:34:11,095",POST,/api/v1/routeplanservice/routePlan/cheapestRoute,96.66645794641227,38
"2024-06-25 20:34:11,095",POST,/api/v1/travelplanservice/travelPlan/cheapest,93.13758299686015,44
"2024-06-25 20:34:11,097",GET,/api/v1/adminbasicservice/adminbasic/stations,124.60433295927942,120901
"2024-06-25 20:34:11,097",GET,/api/v1/adminbasicservice/adminbasic/stations,124.26575005520135,120901
"2024-06-25 20:34:11,097",GET,/api/v1/adminbasicservice/adminbasic/stations,123.5340409912169,120901
